Company,Ticker,Fiscal Year,Fiscal Year End,Statement,Line Item,Value USD millions,Source
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Revenue,151157.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Cost of Sales,100325.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Gross Profit,50832.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,SG&A,25406.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Depreciation & Amortization Expense,2386.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Operating Income,23040.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Interest Expense,1347.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Income Before Tax,21737.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Income Tax Expense,5304.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Income Statement,Net Income,16433.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Cash & Equivalents,2343.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Accounts Receivable,3426.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Inventory,22068.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Current Assets,29055.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Total Assets,71876.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Accounts Payable,13462.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Current Liabilities,28693.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Current Debt,2447.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Long-term Debt,36604.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Operating Lease Liabilities,6183.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Total Liabilities,73572.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Balance Sheet,Stockholders' Equity,-1696.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Operating Cash Flow,16571.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,D&A Add-back,2862.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Change in Receivables,435.0,SEC Company Facts comparative 10-K data
"The Home Depot, Inc.",HD,2021,2022-01-30,Cash Flow,Change in Inventory,,SEC Company Facts comparative 10-K data
