Company,Ticker,Fiscal Year,Metric,Value
"The Home Depot, Inc.",HD,2021,Revenue Growth,
"The Home Depot, Inc.",HD,2021,Gross Margin,0.336286
"The Home Depot, Inc.",HD,2021,Operating Margin,0.152424
"The Home Depot, Inc.",HD,2021,Net Margin,0.108715
"The Home Depot, Inc.",HD,2021,SG&A as % Revenue,0.168077
"The Home Depot, Inc.",HD,2021,Current Ratio,1.012616
"The Home Depot, Inc.",HD,2021,Quick Ratio,0.201059
"The Home Depot, Inc.",HD,2021,Debt / Equity,-23.025354
"The Home Depot, Inc.",HD,2021,Debt / Assets,0.543311
"The Home Depot, Inc.",HD,2021,CFO / Net Income,1.008398
"The Home Depot, Inc.",HD,2021,Free Cash Flow Margin,0.092652
"The Home Depot, Inc.",HD,2021,Inventory Turnover,4.546175
"The Home Depot, Inc.",HD,2021,Receivable Days,8.272789
"The Home Depot, Inc.",HD,2021,Inventory Days,80.287266
"The Home Depot, Inc.",HD,2021,Payable Days,48.977124
"The Home Depot, Inc.",HD,2022,Revenue Growth,0.041321
"The Home Depot, Inc.",HD,2022,Gross Margin,0.335305
"The Home Depot, Inc.",HD,2022,Operating Margin,0.152723
"The Home Depot, Inc.",HD,2022,Net Margin,0.10867
"The Home Depot, Inc.",HD,2022,SG&A as % Revenue,0.166985
"The Home Depot, Inc.",HD,2022,Current Ratio,1.405063
"The Home Depot, Inc.",HD,2022,Quick Ratio,0.26283
"The Home Depot, Inc.",HD,2022,Debt / Equity,27.652369
"The Home Depot, Inc.",HD,2022,Debt / Assets,0.565021
"The Home Depot, Inc.",HD,2022,CFO / Net Income,0.854429
"The Home Depot, Inc.",HD,2022,Free Cash Flow Margin,0.073035
"The Home Depot, Inc.",HD,2022,Inventory Turnover,4.456489
"The Home Depot, Inc.",HD,2022,Receivable Days,7.818132
"The Home Depot, Inc.",HD,2022,Inventory Days,81.903035
"The Home Depot, Inc.",HD,2022,Payable Days,43.442413
"The Home Depot, Inc.",HD,2023,Revenue Growth,-0.030076
"The Home Depot, Inc.",HD,2023,Gross Margin,0.333794
"The Home Depot, Inc.",HD,2023,Operating Margin,0.142066
"The Home Depot, Inc.",HD,2023,Net Margin,0.099188
"The Home Depot, Inc.",HD,2023,SG&A as % Revenue,0.17422
"The Home Depot, Inc.",HD,2023,Current Ratio,1.352487
"The Home Depot, Inc.",HD,2023,Quick Ratio,0.321962
"The Home Depot, Inc.",HD,2023,Debt / Equity,42.251916
"The Home Depot, Inc.",HD,2023,Debt / Assets,0.576388
"The Home Depot, Inc.",HD,2023,CFO / Net Income,1.398138
"The Home Depot, Inc.",HD,2023,Free Cash Flow Margin,0.117548
"The Home Depot, Inc.",HD,2023,Inventory Turnover,4.435437
"The Home Depot, Inc.",HD,2023,Receivable Days,7.94341
"The Home Depot, Inc.",HD,2023,Inventory Days,82.291783
"The Home Depot, Inc.",HD,2023,Payable Days,38.542312
"The Home Depot, Inc.",HD,2024,Revenue Growth,0.044836
"The Home Depot, Inc.",HD,2024,Gross Margin,0.33419
"The Home Depot, Inc.",HD,2024,Operating Margin,0.134947
"The Home Depot, Inc.",HD,2024,Net Margin,0.092819
"The Home Depot, Inc.",HD,2024,SG&A as % Revenue,0.180222
"The Home Depot, Inc.",HD,2024,Current Ratio,1.105439
"The Home Depot, Inc.",HD,2024,Quick Ratio,0.228952
"The Home Depot, Inc.",HD,2024,Debt / Equity,7.992018
"The Home Depot, Inc.",HD,2024,Debt / Assets,0.552097
"The Home Depot, Inc.",HD,2024,CFO / Net Income,1.337971
"The Home Depot, Inc.",HD,2024,Free Cash Flow Margin,0.102342
"The Home Depot, Inc.",HD,2024,Inventory Turnover,4.781147
"The Home Depot, Inc.",HD,2024,Receivable Days,9.417089
"The Home Depot, Inc.",HD,2024,Inventory Days,76.34152
"The Home Depot, Inc.",HD,2024,Payable Days,37.760932
"The Home Depot, Inc.",HD,2025,Revenue Growth,0.032405
"The Home Depot, Inc.",HD,2025,Gross Margin,0.333155
"The Home Depot, Inc.",HD,2025,Operating Margin,0.12685
"The Home Depot, Inc.",HD,2025,Net Margin,0.085959
"The Home Depot, Inc.",HD,2025,SG&A as % Revenue,0.186431
"The Home Depot, Inc.",HD,2025,Current Ratio,1.060665
"The Home Depot, Inc.",HD,2025,Quick Ratio,0.215458
"The Home Depot, Inc.",HD,2025,Debt / Equity,4.004371
"The Home Depot, Inc.",HD,2025,Debt / Assets,0.488206
"The Home Depot, Inc.",HD,2025,CFO / Net Income,1.153221
"The Home Depot, Inc.",HD,2025,Free Cash Flow Margin,0.07679
"The Home Depot, Inc.",HD,2025,Inventory Turnover,4.457985
"The Home Depot, Inc.",HD,2025,Receivable Days,11.635992
"The Home Depot, Inc.",HD,2025,Inventory Days,81.875558
"The Home Depot, Inc.",HD,2025,Payable Days,38.935261
